id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Gino,Nievo,1989-01-26,gino.nievo@scuola.it,24,27,18,21
2,Berenice,Costanzi,1994-07-31,berenice.costanzi@scuola.it,23,30,22,25
3,Gianna,Argentero,1996-01-31,gianna.argentero@scuola.it,20,29,22,17
4,Francesca,Greggio,2002-02-15,francesca.greggio@scuola.it,16,26,16,21
5,Edoardo,Condoleo,2005-10-17,edoardo.condoleo@scuola.it,22,24,15,28
6,Franco,Piazzi,1991-08-30,franco.piazzi@scuola.it,22,21,20,26
7,Raffaele,Spadafora,1991-07-05,raffaele.spadafora@scuola.it,30,20,21,21
8,Giacomo,Fibonacci,1995-10-19,giacomo.fibonacci@scuola.it,27,24,29,20
9,Amalia,Angiolello,2008-03-27,amalia.angiolello@scuola.it,16,16,17,29
10,Vincenza,Nibali,2001-08-23,vincenza.nibali@scuola.it,18,23,20,18
12,Franco,Lombardo,2003-11-06,franco.lombardo@scuola.it,16,18,20,19
13,Goffredo,Fantini,1998-08-18,goffredo.fantini@scuola.it,21,27,26,15
14,Maria,Cociarelli,2008-01-28,maria.cociarelli@scuola.it,16,27,17,22
15,Isa,Leonardi,1997-11-01,isa.leonardi@scuola.it,17,27,17,24
16,Antonella,Bergoglio,2001-02-27,antonella.bergoglio@scuola.it,15,24,17,27
17,Rossana,Petrucelli,1996-07-07,rossana.petrucelli@scuola.it,17,30,26,29
18,Piermaria,Taliani,1988-10-18,piermaria.taliani@scuola.it,20,22,16,20
19,Romeo,Toso,1991-06-15,romeo.toso@scuola.it,26,22,25,17
20,Bianca,Vittadello,1993-08-19,bianca.vittadello@scuola.it,29,18,18,21
21,Eugenia,Malacarne,2003-10-19,eugenia.malacarne@scuola.it,16,22,21,15
22,Luisa,Palombi,2001-03-25,luisa.palombi@scuola.it,15,30,27,22
23,Alderano,Camicione,1989-01-16,alderano.camicione@scuola.it,19,25,24,27
24,Maria,Scandone,1988-10-22,maria.scandone@scuola.it,30,15,16,20
26,Santino,Mondadori,1989-04-04,santino.mondadori@scuola.it,25,27,15,15
27,Raffaele,Mercalli,1992-03-19,raffaele.mercalli@scuola.it,28,18,20,19
