id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Claudia,Conti,1993-08-25,claudia.conti@scuola.it,25,19,26,16
2,Serena,Sagnelli,2000-08-04,serena.sagnelli@scuola.it,24,28,22,28
3,Ugo,Conti,1995-10-12,ugo.conti@scuola.it,15,28,15,30
4,Martina,Bersani,1991-10-17,martina.bersani@scuola.it,16,27,16,22
5,Donatello,Draghi,2004-07-16,donatello.draghi@scuola.it,15,22,29,25
6,Lodovico,Boiardo,2004-09-28,lodovico.boiardo@scuola.it,23,29,15,21
7,Guarino,Sollima,1998-05-21,guarino.sollima@scuola.it,26,23,24,19
8,Sebastiano,Modiano,1998-01-30,sebastiano.modiano@scuola.it,25,20,24,30
9,Alina,Correr,1996-11-25,alina.correr@scuola.it,16,30,19,18
10,Sabatino,Colletti,1996-02-07,sabatino.colletti@scuola.it,17,21,24,27
11,Bettina,Verdi,2003-02-22,bettina.verdi@scuola.it,17,17,16,26
12,Rolando,Galtarossa,1999-05-26,rolando.galtarossa@scuola.it,15,25,20,30
13,Gionata,Musatti,2005-12-09,gionata.musatti@scuola.it,15,27,15,15
14,Piersanti,Palladio,2005-06-25,piersanti.palladio@scuola.it,17,21,25,21
15,Iolanda,Petrucelli,2005-08-14,iolanda.petrucelli@scuola.it,19,26,27,24
16,Livio,Fagotto,1998-02-16,livio.fagotto@scuola.it,22,19,20,24
17,Vittorio,Boiardo,1989-05-20,vittorio.boiardo@scuola.it,25,23,28,30
18,Gionata,Sismondi,1998-03-16,gionata.sismondi@scuola.it,20,24,15,15
19,Marisa,Terragni,1994-03-11,marisa.terragni@scuola.it,17,19,23,19
20,Enrico,Pace,2006-12-03,enrico.pace@scuola.it,16,25,17,16
21,Pierluigi,Saffi,1989-12-02,pierluigi.saffi@scuola.it,21,19,29,27
23,Adriano,Semitecolo,1989-04-30,adriano.semitecolo@scuola.it,28,22,18,19
24,Martina,Maffei,2000-03-05,martina.maffei@scuola.it,21,26,25,17
25,Panfilo,Antonello,2001-07-05,panfilo.antonello@scuola.it,20,28,22,30
26,Pierpaolo,Giacometti,1997-03-23,pierpaolo.giacometti@scuola.it,16,29,19,16
27,Serena,Caccioppoli,2005-07-25,serena.caccioppoli@scuola.it,27,16,15,25
