id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Leopoldo,Tuzzolino,1993-06-24,leopoldo.tuzzolino@scuola.it,19,21,16,17
2,Aria,Nitti,1997-06-05,aria.nitti@scuola.it,24,27,28,24
3,Saverio,Altera,2008-04-16,saverio.altera@scuola.it,21,18,22,15
4,Giorgio,Sagese,2000-11-11,giorgio.sagese@scuola.it,30,17,18,18
5,Aria,Veltroni,1997-04-19,aria.veltroni@scuola.it,22,27,22,30
6,Antonino,Tuzzolino,1995-05-07,antonino.tuzzolino@scuola.it,21,22,18,26
7,Annamaria,Mazzeo,2003-09-23,annamaria.mazzeo@scuola.it,18,15,27,15
8,Gabriele,Bresciani,1988-10-01,gabriele.bresciani@scuola.it,27,16,24,19
9,Maurilio,Querini,2005-10-06,maurilio.querini@scuola.it,20,28,28,28
10,Giovanna,Rosselli,1988-06-08,giovanna.rosselli@scuola.it,20,21,27,28
11,Bartolomeo,Russo,2000-02-10,bartolomeo.russo@scuola.it,24,22,22,18
12,Lucio,Cendron,2001-11-10,lucio.cendron@scuola.it,19,27,24,23
13,Melina,Ariosto,1993-11-28,melina.ariosto@scuola.it,25,25,16,28
14,Geronimo,Agnesi,2006-01-02,geronimo.agnesi@scuola.it,28,28,17,24
15,Beatrice,Lanfranchi,1993-04-04,beatrice.lanfranchi@scuola.it,17,18,18,22
16,Milena,Gucci,2005-06-20,milena.gucci@scuola.it,17,26,19,17
17,Ottone,Amaldi,2026-05-07T18:12:46.899116,ottone.amaldi@scuola,16,16,23,10
18,Fabia,Scarponi,2003-03-24,fabia.scarponi@scuola.it,27,30,16,19
19,Fulvio,Marangoni,2007-04-12,fulvio.marangoni@scuola.it,24,27,24,18
20,Hugo,Collodi,2002-11-01,hugo.collodi@scuola.it,20,21,28,26
21,Michele,Zarlino,1988-02-15,michele.zarlino@scuola.it,19,24,22,28
22,Ignazio,Gabrieli,2001-01-05,ignazio.gabrieli@scuola.it,24,20,23,29
23,Cassandra,Cabrini,1989-02-25,cassandra.cabrini@scuola.it,23,26,30,22
24,Concetta,Pincherle,2003-02-28,concetta.pincherle@scuola.it,28,21,22,24
25,Alfio,Verga,1994-08-20,alfio.verga@scuola.it,24,28,28,15
26,Rosalia,Ferrata,1993-05-03,rosalia.ferrata@scuola.it,25,24,30,27
27,Carla,Praga,2002-07-10,carla.praga@scuola.it,20,21,18,17
