id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Paulina,Pacomio,1992-10-31,paulina.pacomio@scuola.it,15,22,16,30
2,Donatello,Bernetti,1990-05-30,donatello.bernetti@scuola.it,24,25,26,22
3,Lorenzo,Santoro,1992-02-11,lorenzo.santoro@scuola.it,15,15,19,16
4,Matilda,Agazzi,2000-04-20,matilda.agazzi@scuola.it,18,27,19,15
5,Santino,Traetta,2004-04-20,santino.traetta@scuola.it,21,28,21,22
6,Maria,Giannelli,1990-06-08,maria.giannelli@scuola.it,17,25,26,17
7,Fredo,Conti,1989-09-16,fredo.conti@scuola.it,16,28,15,21
8,Enzo,Luria,1990-04-26,enzo.luria@scuola.it,30,27,27,18
9,Gaspare,Trapani,2007-05-21,gaspare.trapani@scuola.it,22,15,19,25
10,Pierpaolo,Roth,1988-11-22,pierpaolo.roth@scuola.it,15,30,26,15
11,Oreste,Borroni,2006-06-18,oreste.borroni@scuola.it,19,20,24,17
12,Antonietta,Rinaldi,1988-07-22,antonietta.rinaldi@scuola.it,19,15,16,30
13,Lara,Asmundo,2000-05-04,lara.asmundo@scuola.it,23,17,24,30
14,Elladio,Ginese,1996-09-04,elladio.ginese@scuola.it,21,19,22,20
15,Gianpaolo,Traversa,1991-05-31,gianpaolo.traversa@scuola.it,21,17,17,21
16,Ottone,Regge,2003-02-16,ottone.regge@scuola.it,16,25,26,23
17,Ugolino,Gangemi,2007-11-18,ugolino.gangemi@scuola.it,30,30,16,24
18,Priscilla,Musatti,2007-11-19,priscilla.musatti@scuola.it,15,24,30,16
19,Ezio,Nugnes,2003-06-05,ezio.nugnes@scuola.it,21,15,22,21
20,Gianmarco,Inzaghi,1988-01-22,gianmarco.inzaghi@scuola.it,21,17,19,20
21,Evangelista,Pistoletto,2001-09-19,evangelista.pistoletto@scuola.it,15,16,15,26
22,Melania,Aldobrandi,1990-01-21,melania.aldobrandi@scuola.it,22,25,21,29
23,Anita,Borromeo,1995-05-11,anita.borromeo@scuola.it,17,15,25,27
25,Mariano,Marino,1996-08-31,mariano.marino@scuola.it,27,16,29,17
26,Ornella,Asmundo,1988-11-29,ornella.asmundo@scuola.it,18,30,15,28
27,Rosa,Gozzi,1988-07-04,rosa.gozzi@scuola.it,20,18,28,26
