id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Eugenia,Merisi,2004-07-11,eugenia.merisi@scuola.it,27,19,20,20
2,Antonello,Boaga,1990-10-25,antonello.boaga@scuola.it,25,29,17,15
4,Benedetto,Bembo,1992-12-26,benedetto.bembo@scuola.it,20,19,18,20
5,Eugenia,Germano,1987-08-23,eugenia.germano@scuola.it,26,29,23,15
6,Amanda,Zaccardo,1990-06-09,amanda.zaccardo@scuola.it,17,18,28,15
7,Eva,Pincherle,1988-07-28,eva.pincherle@scuola.it,15,25,20,16
8,Piergiorgio,Ottino,1993-05-15,piergiorgio.ottino@scuola.it,29,21,20,16
9,Marcello,Maderno,1996-09-29,marcello.maderno@scuola.it,27,23,28,17
10,Damiano,Palombi,1999-03-13,damiano.palombi@scuola.it,19,26,25,30
11,Vincenza,Borromeo,2006-01-17,vincenza.borromeo@scuola.it,28,19,26,22
12,Maria,Dellucci,1989-12-24,maria.dellucci@scuola.it,25,19,29,27
13,Paola,Ferrucci,1991-04-24,paola.ferrucci@scuola.it,19,17,26,17
14,Bianca,Manacorda,1998-04-08,bianca.manacorda@scuola.it,20,26,18,22
15,Mariano,Trebbi,2005-11-04,mariano.trebbi@scuola.it,22,18,30,18
16,Allegra,Renzi,2005-12-19,allegra.renzi@scuola.it,28,24,16,18
17,Tina,Vecellio,1995-05-30,tina.vecellio@scuola.it,23,19,21,28
18,Patrizio,Scarpa,2006-05-18,patrizio.scarpa@scuola.it,26,19,23,16
19,Alessandra,Argan,2005-12-08,alessandra.argan@scuola.it,19,20,26,27
20,Graziano,Monti,1988-08-02,graziano.monti@scuola.it,16,18,20,21
21,Elladio,Lombardo,2007-02-17,elladio.lombardo@scuola.it,21,21,22,20
22,Anita,Einaudi,1998-02-12,anita.einaudi@scuola.it,24,26,21,26
23,Bartolomeo,Volta,1995-07-07,bartolomeo.volta@scuola.it,22,24,25,19
24,Luchino,Smirnoff,2004-07-15,luchino.smirnoff@scuola.it,17,23,19,15
25,Olga,Puccini,1988-08-18,olga.puccini@scuola.it,26,18,28,25
26,Pomponio,Porzio,1993-05-13,pomponio.porzio@scuola.it,16,26,22,28
27,Tonia,Piazzi,2001-10-30,tonia.piazzi@scuola.it,22,30,23,28
