id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Ramona,Catalano,1995-06-01,ramona.catalano@scuola.it,27,24,26,20
2,Michela,Surian,1999-06-15,michela.surian@scuola.it,20,24,20,30
3,Livio,Bocca,1998-03-08,livio.bocca@scuola.it,20,20,29,24
4,Laura,Barese,2002-04-07,laura.barese@scuola.it,17,25,15,30
5,Ugo,Franceschi,2002-11-11,ugo.franceschi@scuola.it,19,23,19,28
6,Giampiero,Roero,1995-10-05,giampiero.roero@scuola.it,16,25,15,26
7,Rosario,Gaito,1996-06-22,rosario.gaito@scuola.it,27,20,15,15
8,Giacomo,Trentini,1991-06-21,giacomo.trentini@scuola.it,17,24,21,19
9,Lidia,Buscetta,2004-09-06,lidia.buscetta@scuola.it,26,21,25,27
10,Lina,Pepe,1990-01-31,lina.pepe@scuola.it,22,28,29,21
11,Martina,Vezzali,2004-09-17,martina.vezzali@scuola.it,23,18,23,28
12,Vittorio,Manacorda,2000-03-30,vittorio.manacorda@scuola.it,23,18,24,28
13,Bernardo,Endrizzi,1987-10-24,bernardo.endrizzi@scuola.it,29,23,23,21
14,Barbara,Argentero,1992-10-20,barbara.argentero@scuola.it,30,19,25,22
15,Gioacchino,Leoncavallo,1995-03-15,gioacchino.leoncavallo@scuola.it,17,17,29,25
16,Melania,Giannuzzi,1994-12-09,melania.giannuzzi@scuola.it,26,22,17,16
17,Matilda,Maderna,1999-06-28,matilda.maderna@scuola.it,22,15,17,20
18,Nico,Granatelli,2004-01-17,nico.granatelli@scuola.it,30,21,29,24
19,Mirko,Simeoni,1990-08-03,mirko.simeoni@scuola.it,22,26,16,20
20,Fabio,Scarpetta,1990-02-20,fabio.scarpetta@scuola.it,26,22,22,19
21,Dante,Andreotti,1998-05-30,dante.andreotti@scuola.it,15,20,26,30
22,Marco,Majewski,2007-09-05,marco.majewski@scuola.it,29,22,17,18
23,Nicola,Giannelli,2003-04-16,nicola.giannelli@scuola.it,29,15,18,24
24,Ludovica,Mastandrea,1993-12-01,ludovica.mastandrea@scuola.it,23,26,24,23
25,Guglielmo,Meucci,2001-09-08,guglielmo.meucci@scuola.it,23,18,29,26
26,Osvaldo,Bandello,1992-07-28,osvaldo.bandello@scuola.it,19,20,24,24
27,Claudio,Lucciano,1989-03-20,claudio.lucciano@scuola.it,26,23,23,15
