id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Gianmarco,Romano,1994-11-14,gianmarco.romano@scuola.it,24,29,29,27
2,Filippa,Scaramucci,1997-08-06,filippa.scaramucci@scuola.it,19,17,27,16
3,Romeo,Metella,2007-05-18,romeo.metella@scuola.it,24,19,21,24
4,Priscilla,Cociarelli,1991-02-13,priscilla.cociarelli@scuola.it,16,18,17,17
5,Ugolino,Zacco,1990-11-13,ugolino.zacco@scuola.it,30,17,20,28
6,Clelia,Donatoni,1999-01-07,clelia.donatoni@scuola.it,21,22,23,29
7,Pellegrino,Cheda,2006-07-12,pellegrino.cheda@scuola.it,28,22,24,28
8,Laureano,Bignardi,1987-12-15,laureano.bignardi@scuola.it,23,24,30,29
9,Raffaele,Travaglia,1990-07-23,raffaele.travaglia@scuola.it,21,16,16,19
10,Angelica,Fattori,1991-03-03,angelica.fattori@scuola.it,24,26,15,28
11,Annunziata,Altera,1987-10-04,annunziata.altera@scuola.it,29,20,15,27
12,Marcantonio,Guariento,2006-02-20,marcantonio.guariento@scuola.it,29,30,28,20
13,Ferdinando,Blasi,1995-04-08,ferdinando.blasi@scuola.it,18,27,21,26
14,Rosaria,Gozzi,2006-10-13,rosaria.gozzi@scuola.it,28,29,25,24
15,Giulia,Trupiano,1989-12-17,giulia.trupiano@scuola.it,26,27,30,30
16,Tiziana,Navarria,1990-10-25,tiziana.navarria@scuola.it,16,21,16,27
17,Donna,Iannelli,2005-12-09,donna.iannelli@scuola.it,20,21,17,25
18,Cirillo,Maderna,1995-07-20,cirillo.maderna@scuola.it,20,20,22,15
19,Maria,Mazzeo,2000-07-07,maria.mazzeo@scuola.it,19,17,18,17
20,Adelasia,Biagi,1999-03-04,adelasia.biagi@scuola.it,21,21,26,17
21,Rolando,Cicala,2002-12-21,rolando.cicala@scuola.it,26,16,18,18
22,Carmelo,Piacentini,1990-12-22,carmelo.piacentini@scuola.it,28,20,25,18
23,Alfredo,Salvini,1993-03-26,alfredo.salvini@scuola.it,30,18,23,20
24,Paulina,Goldoni,2002-05-13,paulina.goldoni@scuola.it,27,29,19,16
25,Sylvia,Notarbartolo,1996-11-21,sylvia.notarbartolo@scuola.it,27,22,30,15
26,Francesco,Gatto,2005-01-05,francesco.gatto@scuola.it,17,28,22,25
27,Danilo,Giannone,2005-04-20,danilo.giannone@scuola.it,28,16,22,25
