id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Augusto,Mazzocchi,1991-02-06,augusto.mazzocchi@scuola.it,16,28,15,23
3,Sergius,Botta,1990-12-29,sergius.botta@scuola.it,26,22,23,24
4,Daniele,Proietti,2003-03-17,daniele.proietti@scuola.it,25,28,16,17
5,Sole,Ammaniti,1996-05-01,sole.ammaniti@scuola.it,24,19,19,17
6,Donatella,Vattimo,2001-10-29,donatella.vattimo@scuola.it,19,21,16,25
7,Romeo,Polizzi,1996-12-14,romeo.polizzi@scuola.it,26,21,15,20
8,Annibale,Busoni,1988-07-17,annibale.busoni@scuola.it,27,18,30,20
9,Sandra,Scarfoglio,1988-04-25,sandra.scarfoglio@scuola.it,18,25,20,29
10,Donatella,Bragadin,1987-08-15,donatella.bragadin@scuola.it,24,20,30,28
11,Carla,Benussi,1998-08-23,carla.benussi@scuola.it,29,25,26,18
12,Pierangelo,Visintini,2007-03-06,pierangelo.visintini@scuola.it,24,24,22,29
13,Imelda,Marino,1999-06-19,imelda.marino@scuola.it,26,18,19,19
14,Loretta,Palumbo,2007-08-18,loretta.palumbo@scuola.it,30,22,25,26
15,Giacinto,Guicciardini,1994-02-05,giacinto.guicciardini@scuola.it,17,25,23,15
16,Giovanna,Santi,1990-08-02,giovanna.santi@scuola.it,29,17,30,30
17,Fabio,Tagliafierro,1989-12-05,fabio.tagliafierro@scuola.it,19,22,23,21
18,Antonello,Salvo,1989-04-08,antonello.salvo@scuola.it,15,19,20,29
19,Guglielmo,Respighi,2004-08-08,guglielmo.respighi@scuola.it,22,29,17,29
20,Ludovico,Tognazzi,1998-10-02,ludovico.tognazzi@scuola.it,16,21,28,20
21,Roberta,Cortese,1996-06-06,roberta.cortese@scuola.it,15,18,20,16
22,Pietro,Faugno,2003-09-28,pietro.faugno@scuola.it,26,28,20,29
23,Marcello,Piane,1998-02-03,marcello.piane@scuola.it,22,26,27,27
24,Severino,Argenti,1999-03-09,severino.argenti@scuola.it,16,20,27,30
25,Agostino,Franzese,1988-01-30,agostino.franzese@scuola.it,22,17,17,23
26,Virginia,Totino,1998-05-28,virginia.totino@scuola.it,17,24,16,18
27,Victoria,Traetta,1990-09-16,victoria.traetta@scuola.it,15,27,24,22
