id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Chiara,Seddio,2002-03-04,chiara.seddio@scuola.it,19,24,27,27
2,Calogero,Iannelli,2002-03-30,calogero.iannelli@scuola.it,18,21,18,15
3,Ronaldo,Tamborini,1995-08-29,ronaldo.tamborini@scuola.it,25,24,30,27
4,Marisa,Santi,2003-04-10,marisa.santi@scuola.it,26,29,20,25
5,Nicoletta,Valguarnera,1999-07-23,nicoletta.valguarnera@scuola.it,23,25,18,27
6,Mirco,Antonetti,1991-04-26,mirco.antonetti@scuola.it,19,19,17,19
8,Amedeo,Bottigliero,2004-11-19,amedeo.bottigliero@scuola.it,17,19,29,27
9,Gioacchino,Panzera,1991-12-12,gioacchino.panzera@scuola.it,24,24,25,15
10,Fabio,Palladio,1987-07-09,fabio.palladio@scuola.it,25,21,25,16
12,Giampiero,Grasso,1992-01-11,giampiero.grasso@scuola.it,25,30,28,19
13,Loredana,Toldo,1994-06-02,loredana.toldo@scuola.it,22,24,27,26
14,Nanni,Priuli,2001-03-15,nanni.priuli@scuola.it,26,22,23,20
15,Mauro,Abatantuono,1999-02-10,mauro.abatantuono@scuola.it,21,15,30,23
16,Giulio,Saffi,1990-08-28,giulio.saffi@scuola.it,16,26,24,16
17,Alberico,Iannotti,1996-10-31,alberico.iannotti@scuola.it,29,25,16,15
18,Fiorenzo,Amato,1989-06-29,fiorenzo.amato@scuola.it,19,28,25,16
19,Pierluigi,Buonauro,1988-11-05,pierluigi.buonauro@scuola.it,29,21,30,15
20,Alina,Cattaneo,2002-02-28,alina.cattaneo@scuola.it,21,27,19,22
21,Ezio,Lucchesi,1992-08-22,ezio.lucchesi@scuola.it,23,19,24,22
22,Giacomo,Tron,2003-12-31,giacomo.tron@scuola.it,19,24,28,16
23,Calcedonio,Fagiani,2001-03-05,calcedonio.fagiani@scuola.it,28,15,25,26
24,Gelsomina,Virgilio,1992-11-05,gelsomina.virgilio@scuola.it,24,22,16,16
25,Milo,Vianello,1990-11-07,milo.vianello@scuola.it,29,22,24,15
26,Sylvia,Zaccagnini,1987-09-08,sylvia.zaccagnini@scuola.it,26,15,15,17
27,Enzo,Rossini,1998-05-05,enzo.rossini@scuola.it,24,26,29,30
