id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Greca,Olivetti,1995-05-08,greca.olivetti@scuola.it,30,18,19,16
2,Beppe,Simeoni,2006-11-25,beppe.simeoni@scuola.it,28,30,30,29
3,Nicola,Ferrari,2000-06-11,nicola.ferrari@scuola.it,30,26,16,19
4,Susanna,Barberini,1991-12-02,susanna.barberini@scuola.it,25,25,16,20
5,Romana,Comisso,1987-06-29,romana.comisso@scuola.it,29,26,19,29
6,Maria,Ruberto,1996-02-01,maria.ruberto@scuola.it,17,28,27,27
7,Antonina,Tornatore,2002-05-14,antonina.tornatore@scuola.it,16,23,29,17
8,Benito,Gaiatto,2004-01-13,benito.gaiatto@scuola.it,26,16,21,21
9,Renata,Nolcini,2003-07-30,renata.nolcini@scuola.it,23,23,19,21
10,Angelo,Napolitano,2002-02-03,angelo.napolitano@scuola.it,25,30,21,17
11,Carolina,Gianinazzi,1987-08-16,carolina.gianinazzi@scuola.it,24,19,17,24
12,Morena,Opizzi,2004-04-30,morena.opizzi@scuola.it,20,26,27,27
13,Ruggiero,Gualandi,2007-05-31,ruggiero.gualandi@scuola.it,26,28,28,22
14,Gloria,Balotelli,1991-04-27,gloria.balotelli@scuola.it,29,27,30,28
15,Lina,Borromini,2004-08-20,lina.borromini@scuola.it,29,21,15,27
16,Gilberto,Rosmini,2007-04-05,gilberto.rosmini@scuola.it,26,21,20,17
17,Iolanda,Anastasi,2006-02-27,iolanda.anastasi@scuola.it,18,27,16,28
18,Pietro,Collodi,1998-12-20,pietro.collodi@scuola.it,29,27,24,24
19,Gabriella,Tartini,2004-04-17,gabriella.tartini@scuola.it,15,19,30,15
20,Irma,Fo,1996-10-05,irma.fo@scuola.it,27,18,16,27
21,Annibale,Sgalambro,1995-08-14,annibale.sgalambro@scuola.it,27,17,21,20
22,Erika,Gangemi,1996-04-16,erika.gangemi@scuola.it,23,29,27,30
23,Olga,Paruta,1996-04-05,olga.paruta@scuola.it,16,25,30,29
24,Martina,Dandolo,1997-02-21,martina.dandolo@scuola.it,29,27,29,23
25,Damiano,Palazzo,2007-08-31,damiano.palazzo@scuola.it,28,18,22,26
26,Eva,Carducci,1990-01-13,eva.carducci@scuola.it,29,23,19,27
27,Nino,Pietrangeli,2005-12-16,nino.pietrangeli@scuola.it,29,28,24,30
