id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Maria,Taliani,1994-12-22,maria.taliani@scuola.it,20,30,24,30
2,Serafina,Bertoni,1994-10-20,serafina.bertoni@scuola.it,28,21,16,16
3,Adele,Puccini,1993-05-03,adele.puccini@scuola.it,16,23,18,26
4,Ettore,Trobbiani,1992-01-09,ettore.trobbiani@scuola.it,29,25,24,16
5,Manuel,Aldobrandi,2003-07-24,manuel.aldobrandi@scuola.it,22,23,21,20
6,Carla,Cantimori,1998-09-20,carla.cantimori@scuola.it,21,30,21,24
7,Elisa,Salieri,2005-04-09,elisa.salieri@scuola.it,22,21,27,23
8,Rosario,Respighi,2004-09-02,rosario.respighi@scuola.it,20,23,16,19
9,Venancio,Tomasetti,1988-04-24,venancio.tomasetti@scuola.it,17,26,20,25
10,Salvatore,Panzera,1992-08-24,salvatore.panzera@scuola.it,27,17,20,30
11,Ornella,Polani,1987-12-04,ornella.polani@scuola.it,19,16,26,15
12,Tonia,Zito,1990-01-13,tonia.zito@scuola.it,23,28,30,29
13,Aurora,Vitturi,1992-09-12,aurora.vitturi@scuola.it,30,17,18,25
14,Angelina,Paruta,1996-07-19,angelina.paruta@scuola.it,29,25,28,20
15,Marta,Spadafora,1990-03-04,marta.spadafora@scuola.it,30,27,16,15
16,Pompeo,Lombardo,2007-09-02,pompeo.lombardo@scuola.it,16,30,21,22
17,Costanzo,Piazzi,2004-03-21,costanzo.piazzi@scuola.it,20,20,22,26
18,Tatiana,Interminelli,2005-04-03,tatiana.interminelli@scuola.it,17,30,18,19
19,Maria,Renzi,1992-06-17,maria.renzi@scuola.it,21,25,30,17
20,Sophia,Nolcini,2007-04-10,sophia.nolcini@scuola.it,30,27,18,24
21,Federica,Vercelloni,1993-01-15,federica.vercelloni@scuola.it,28,30,22,26
22,Tiziana,Mannoia,1997-05-26,tiziana.mannoia@scuola.it,17,21,21,26
23,Puccio,Sinisi,2003-08-16,puccio.sinisi@scuola.it,24,29,29,25
24,Edoardo,Giolitti,1993-12-09,edoardo.giolitti@scuola.it,29,15,23,20
25,Leone,Morlacchi,2004-09-03,leone.morlacchi@scuola.it,17,25,16,25
26,Arnaldo,Papetti,1989-03-13,arnaldo.papetti@scuola.it,30,16,23,17
27,Maurizio,Pareto,1988-12-04,maurizio.pareto@scuola.it,21,20,29,25
