id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Patrizio,Tozzi,1995-01-29,patrizio.tozzi@scuola.it,19,26,22,15
2,Gino,Ficino,1987-05-27,gino.ficino@scuola.it,22,15,26,27
3,Olga,Sokolov,1991-10-08,olga.sokolov@scuola.it,24,28,27,30
4,Calogero,Alonzi,2002-11-28,calogero.alonzi@scuola.it,29,16,20,29
5,Bartolomeo,Valmarana,1988-06-25,bartolomeo.valmarana@scuola.it,17,20,17,15
6,Simone,Niscoromni,2001-10-14,simone.niscoromni@scuola.it,16,20,18,28
7,Bartolomeo,Barbarigo,2006-10-01,bartolomeo.barbarigo@scuola.it,27,22,30,30
8,Antonia,Borsellino,2026-05-05T11:36:07.968641,antonia.borsellino@scuola,20,24,13,30
9,Benito,Cattaneo,1993-10-17,benito.cattaneo@scuola.it,29,18,29,19
10,Valerio,Stefanelli,2000-04-29,valerio.stefanelli@scuola.it,25,18,16,19
11,Giuliana,Filzi,2004-03-17,giuliana.filzi@scuola.it,28,22,22,16
12,Giosuè,Marenzio,1989-12-22,giosuè.marenzio@scuola.it,15,30,15,24
13,Amedeo,Cusano,1996-08-22,amedeo.cusano@scuola.it,22,30,17,27
14,Nicoletta,Scalfaro,2006-09-25,nicoletta.scalfaro@scuola.it,15,24,29,30
15,Gian,Venier,1992-10-18,gian.venier@scuola.it,18,18,25,26
16,Melissa,Babato,1996-04-09,melissa.babato@scuola.it,20,17,24,19
17,Rosalia,Iacobucci,2004-05-23,rosalia.iacobucci@scuola.it,20,15,16,24
18,Lando,Barracco,1996-02-23,lando.barracco@scuola.it,24,19,27,20
19,Ida,Longhena,1993-09-08,ida.longhena@scuola.it,23,26,15,22
20,Jolanda,Brambilla,1997-04-01,jolanda.brambilla@scuola.it,19,19,27,27
21,Leonardo,Salieri,1990-07-18,leonardo.salieri@scuola.it,23,30,18,23
22,Fabrizia,Mazzeo,1995-03-08,fabrizia.mazzeo@scuola.it,20,26,27,28
23,Fedele,Ioppi,2006-09-03,fedele.ioppi@scuola.it,18,29,26,15
24,Arnaldo,Trotta,2005-10-05,arnaldo.trotta@scuola.it,16,16,28,17
25,Simonetta,Tresoldi,1989-12-30,simonetta.tresoldi@scuola.it,15,20,22,22
26,Leone,Dalla,1988-09-20,leone.dalla@scuola.it,18,18,16,22
27,Marcantonio,Pedrazzini,2000-12-22,marcantonio.pedrazzini@scuola.it,26,25,15,25
