id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Tatiana,Fantoni,2003-11-11,tatiana.fantoni@scuola.it,30,15,21,29
2,Barbara,Pertile,2001-01-14,barbara.pertile@scuola.it,27,20,20,17
3,Olga,Paolucci,2001-02-02,olga.paolucci@scuola.it,20,21,28,29
4,Graziano,Cimini,1998-07-25,graziano.cimini@scuola.it,25,20,17,21
5,Aldo,Serao,1991-09-17,aldo.serao@scuola.it,30,21,30,16
6,Romana,Ortolani,2006-08-20,romana.ortolani@scuola.it,16,19,22,22
7,Flavio,Agazzi,2001-02-18,flavio.agazzi@scuola.it,15,25,22,30
8,Gian,Polesel,2001-11-17,gian.polesel@scuola.it,30,25,29,30
9,Orazio,Govoni,1988-10-20,orazio.govoni@scuola.it,27,26,27,27
10,Adamo,Salieri,1994-08-13,adamo.salieri@scuola.it,15,27,20,25
11,Olga,Corbo,2002-10-03,olga.corbo@scuola.it,28,23,21,27
12,Arturo,Monicelli,1992-05-19,arturo.monicelli@scuola.it,21,19,20,23
13,Romeo,Serlupi,1987-08-29,romeo.serlupi@scuola.it,30,24,27,22
15,Greca,Filangieri,1989-12-25,greca.filangieri@scuola.it,17,28,20,29
16,Fiorino,Mozart,2005-10-12,fiorino.mozart@scuola.it,15,27,18,25
17,Tatiana,Raurica,2004-07-16,tatiana.raurica@scuola.it,16,19,30,20
18,Rosa,Carocci,1999-03-30,rosa.carocci@scuola.it,24,30,25,17
19,Angelina,Camicione,1998-07-16,angelina.camicione@scuola.it,27,30,19,25
20,Ninetta,Gentileschi,1991-09-30,ninetta.gentileschi@scuola.it,29,20,16,18
21,Sante,Omma,2006-05-30,sante.omma@scuola.it,28,18,16,28
22,Amedeo,Canevascini,2007-05-13,amedeo.canevascini@scuola.it,18,15,16,17
23,Coluccio,Storladi,1991-02-23,coluccio.storladi@scuola.it,19,15,15,28
24,Benito,Sagredo,2003-05-30,benito.sagredo@scuola.it,15,15,30,21
25,Pina,Galeati,1998-12-17,pina.galeati@scuola.it,25,30,17,28
26,Aurora,Mondaini,1991-11-01,aurora.mondaini@scuola.it,28,24,25,26
27,Paulina,Malipiero,1994-04-12,paulina.malipiero@scuola.it,30,22,28,16
