id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Luciana,Trapanese,1995-12-13,luciana.trapanese@scuola.it,18,29,21,21
2,Dante,Amato,2007-02-27,dante.amato@scuola.it,21,15,27,18
3,Michelotto,Ferrari,2004-10-15,michelotto.ferrari@scuola.it,28,25,24,30
4,Paola,Peranda,2003-08-27,paola.peranda@scuola.it,20,26,21,25
5,Agostino,Ortolani,1998-04-16,agostino.ortolani@scuola.it,25,26,29,25
6,Osvaldo,Spanevello,2002-11-13,osvaldo.spanevello@scuola.it,16,19,18,29
7,Milena,Zeffirelli,1989-03-28,milena.zeffirelli@scuola.it,17,30,20,28
8,Margherita,Bramante,2002-08-21,margherita.bramante@scuola.it,30,27,24,30
9,Temistocle,Zamengo,1994-06-20,temistocle.zamengo@scuola.it,25,30,28,29
10,Lauretta,Dallara,1989-09-23,lauretta.dallara@scuola.it,27,23,19,21
11,Danilo,Asmundo,2007-02-10,danilo.asmundo@scuola.it,15,29,19,19
12,Chiara,Vidoni,1988-02-09,chiara.vidoni@scuola.it,21,25,27,24
13,Gianmarco,Dalla,2007-06-15,gianmarco.dalla@scuola.it,27,15,23,21
14,Fernanda,Tagliafierro,1988-02-22,fernanda.tagliafierro@scuola.it,29,20,30,17
15,Fabio,Saracino,2008-03-25,fabio.saracino@scuola.it,22,30,18,22
16,Simone,Faranda,2000-04-26,simone.faranda@scuola.it,20,30,24,17
17,Coluccio,Gozzano,1999-05-15,coluccio.gozzano@scuola.it,22,20,22,21
18,Alberico,Savorgnan,1989-12-27,alberico.savorgnan@scuola.it,22,15,25,26
19,Leone,Babato,2008-04-15,leone.babato@scuola.it,28,16,21,15
20,Leone,Turrini,2001-04-05,leone.turrini@scuola.it,17,21,19,22
21,Ninetta,Iacovelli,1997-08-25,ninetta.iacovelli@scuola.it,16,18,22,15
22,Carlo,Moneta,1993-05-14,carlo.moneta@scuola.it,21,21,23,20
23,Pina,Pelli,2002-07-08,pina.pelli@scuola.it,24,16,28,23
24,Pomponio,Pagliaro,2005-07-24,pomponio.pagliaro@scuola.it,23,18,28,15
25,Giuseppina,Borromeo,2002-09-16,giuseppina.borromeo@scuola.it,16,22,28,16
26,Maurilio,Rosiello,1989-06-26,maurilio.rosiello@scuola.it,30,28,23,24
27,Pierluigi,Civaschi,1988-07-14,pierluigi.civaschi@scuola.it,16,15,20,15
